frequency,variable,nonmissing,mean,sd,min,max
quarterly,bs_fomc_TR_SKEW,144,0.30406766035353533,0.859563847690795,-3.534343681818182,4.5112060000000005
quarterly,bs_fomc_event_count,144,2.5069444444444446,1.5419383305028114,1.0,12.0
quarterly,usmpd_me_MP1,130,-0.02209355970026266,0.09735324913524883,-0.4743377976190342,0.2607392857142857
quarterly,usmpd_me_MP2,130,-0.01774636315075228,0.07226278253861897,-0.466843749999983,0.14541554741550516
quarterly,usmpd_me_FF1,130,-0.012480692307693511,0.05888342685706887,-0.3599999999999991,0.14
quarterly,usmpd_me_FF2,130,-0.01607300000000059,0.06878342470527289,-0.4099999999999995,0.1399999999999863
quarterly,usmpd_me_OIS1Y,119,-0.005567226890756299,0.056855330622649414,-0.234499999999999,0.1245
quarterly,usmpd_me_OIS2Y,118,-0.008253813559321968,0.0622010986508006,-0.28149999999999886,0.1449999999999999
quarterly,usmpd_me_UST2Y,130,-0.016018460215384573,0.09340353403508174,-0.4097000000000009,0.18099999999999988
quarterly,usmpd_me_UST5Y,130,-0.018293455200000024,0.10310192864693346,-0.6131999999999999,0.23044999999999938
quarterly,usmpd_me_UST10Y,130,-0.0120473084153846,0.08555674480615273,-0.5465,0.16869999999999968
quarterly,usmpd_me_SP500,127,0.008680740333855146,1.2663460674267257,-9.0196943514519,3.609797538543687
quarterly,usmpd_me_SPFUT,126,0.17919588009963236,1.1004559552177127,-3.11706492422634,3.692034036280525
quarterly,usmpd_me_DXY,130,-0.06271903808511285,0.5746141567354373,-2.534231280134604,1.370911615309188
quarterly,usmpd_me_SEP,130,0.5692307692307692,0.56976074862509,0.0,2.0
quarterly,usmpd_me_Unscheduled,130,0.13846153846153847,0.5534086922698142,0.0,5.0
quarterly,usmpd_me_PC,130,0.7076923076923077,0.8485843555401552,0.0,3.0
quarterly,usmpd_me_event_count,130,2.123076923076923,0.5842292294010827,1.0,6.0
quarterly,bs_m_MPS_ORTH_y,28,-1.42838122282488e-13,0.8961830620136579,-2.2652917688109997,1.6534360828270003
quarterly,uk_Target,116,-0.007773865147011028,0.07296578711245529,-0.21666406592493273,0.2290934430066145
quarterly,uk_Path,116,-0.01639105715274316,0.05723528056600109,-0.23923605203044487,0.13762584565134972
quarterly,uk_QE,116,-0.007853101756168022,0.049390261196785405,-0.2457819811659407,0.10684081885607899
quarterly,uk_event_count,116,3.603448275862069,0.6168547196280787,1.0,5.0
quarterly,bs_m_MPS_ORTH,28,-1.42838122282488e-13,0.8961830620136579,-2.2652917688109997,1.6534360828270003
quarterly,rr_resid_romer,39,-0.08936140085335445,0.9250906086117853,-2.268743551336229,1.6554864197969437
quarterly,rr_resid_full,39,2.5372570141767845e-09,0.9216211230049199,-2.1261103032156825,1.8784849420189857
yearly,jk_pc1_hf,37,-0.11359681540540541,0.2905179640810721,-1.0768816300000001,0.38695820000000003
yearly,jk_SP500_hf,37,0.2789672972972973,1.7074204043342511,-3.60898,5.42874
yearly,jk_MP_pm,37,-0.08801029135135136,0.27597766628194875,-1.08218242,0.43763198999999997
yearly,jk_CBI_pm,37,-0.0180620672972973,0.06547147469035602,-0.31598816,0.051238309999999995
yearly,jk_MP_median,37,-0.06979932891891892,0.21774483343451403,-0.86189594,0.39800022
yearly,jk_CBI_median,37,-0.03627302972972973,0.11189140428736323,-0.38196015,0.10967257
yearly,ident_bp_u1,34,-8.82172117647059,24.557851137896847,-99.04969,30.228910000000003
yearly,ident_bp_u2,34,-0.3669894117647059,12.548650502666264,-21.81914,37.274190000000004
